A, 12, 1, 155.2, 17.438, 86.25, 18, 12
A, 8, 4, 103.82, 73.22, 86.25, 14, 72
C, 5, 0, 60.0, 213.814, 23.75, 26, 48
A, 5, 9, 64.94, 170.564, 86.25, 7, 60
B, 2, 4, 19.189, 132.47, 61.25, 10, 24
A, 9, 2, 116.32, 34.876, 86.25, 19, 108
A, 10, 4, 128.82, 73.22, 86.25, 14, 96
A, 6, 7, 77.44, 132.47, 86.25, 6, 48
B, 3, 2, 19.189, 92.97, 48.75, 36, 36
A, 11, 2, 142.7, 34.876, 86.25, 15, 0
A, 7, 5, 89.94, 92.97, 86.25, 3, 60
J, 6, 0, 60.0, -9.915, 11.25, 2, 60
B, 4, 0, 19.189, 53.47, 36.25, 13, 48
A, 12, 0, 155.2, 0.0, 86.25, 11, 12
B, 1, 5, 19.189, 152.22, 73.75, 27, 12
A, 8, 3, 103.82, 53.47, 86.25, 23, 72
A, 15, 11, 194.069, 204.44, 86.25, 20, 48
C, 4, 0, 60.0, 213.814, 36.25, 26, 36
A, 5, 8, 64.94, 152.22, 86.25, 0, 36
F, 6, 0, 237.5, 204.44, 11.25, 4, 72
B, 2, 3, 19.189, 112.72, 61.25, 28, 24
A, 10, 3, 128.82, 53.47, 86.25, 23, 96
A, 6, 6, 77.44, 112.72, 86.25, 8, 48
A, 2, 11, 26.07, 204.44, 86.25, 5, 24
B, 3, 1, 19.189, 73.22, 48.75, 37, 24
A, 11, 1, 142.7, 17.438, 86.25, 18, 0
A, 7, 4, 89.94, 73.22, 86.25, 14, 60
J, 5, 0, 60.0, -9.915, 23.75, 2, 48
A, 4, 9, 51.07, 170.564, 86.25, 7, 48
B, 1, 4, 19.189, 132.47, 73.75, 10, 12
A, 8, 2, 103.82, 34.876, 86.25, 19, 96
A, 15, 10, 194.069, 187.502, 86.25, 22, 48
C, 3, 0, 60.0, 213.814, 48.75, 26, 24
A, 5, 7, 64.94, 132.47, 86.25, 6, 36
B, 2, 2, 19.189, 92.97, 61.25, 36, 24
F, 5, 0, 237.5, 204.44, 23.75, 4, 60
A, 9, 0, 116.32, 0.0, 86.25, 31, 108
A, 10, 2, 128.82, 34.876, 86.25, 19, 120
A, 6, 5, 77.44, 92.97, 86.25, 3, 48
A, 2, 10, 26.07, 187.502, 86.25, 17, 24
B, 3, 0, 19.189, 53.47, 48.75, 13, 36
A, 11, 0, 142.7, 0.0, 86.25, 11, 0
B, 0, 5, 19.189, 152.22, 86.25, 27, 0
A, 7, 3, 89.94, 53.47, 86.25, 23, 60
J, 4, 0, 60.0, -9.915, 36.25, 2, 36
A, 4, 8, 51.07, 152.22, 86.25, 0, 24
B, 1, 3, 19.189, 112.72, 73.75, 28, 12
A, 8, 1, 103.82, 17.438, 86.25, 32, 96
C, 2, 0, 60.0, 213.814, 61.25, 26, 12
A, 5, 6, 64.94, 112.72, 86.25, 8, 36
F, 4, 0, 237.5, 204.44, 36.25, 4, 48
A, 10, 1, 128.82, 17.438, 86.25, 32, 108
I, 6, 0, 159.161, -9.915, 11.25, 16, 60
A, 6, 4, 77.44, 73.22, 86.25, 14, 48
A, 3, 9, 38.57, 170.564, 86.25, 7, 36
B, 0, 4, 19.189, 132.47, 86.25, 10, 0
A, 7, 2, 89.94, 34.876, 86.25, 19, 84
J, 3, 0, 60.0, -9.915, 48.75, 2, 24
A, 4, 7, 51.07, 132.47, 86.25, 6, 24
B, 1, 2, 19.189, 92.97, 73.75, 36, 12
A, 8, 0, 103.82, 0.0, 86.25, 31, 96
A, 5, 5, 64.94, 92.97, 86.25, 3, 36
F, 3, 0, 237.5, 204.44, 48.75, 4, 36
B, 2, 0, 19.189, 53.47, 61.25, 13, 24
A, 10, 0, 128.82, 0.0, 86.25, 31, 120
A, 6, 3, 77.44, 53.47, 86.25, 23, 48
A, 3, 8, 38.57, 152.22, 86.25, 0, 12
A, 14, 11, 181.569, 204.44, 86.25, 20, 36
B, 0, 3, 19.189, 112.72, 86.25, 28, 0
A, 19, 9, 245.444, 170.564, 86.25, 1, 84
A, 7, 1, 89.94, 17.438, 86.25, 32, 84
A, 4, 6, 51.07, 112.72, 86.25, 8, 24
B, 1, 1, 19.189, 73.22, 73.75, 37, 12
A, 1, 11, 12.5, 204.44, 86.25, 5, 12
C, 0, 0, 60.0, 213.814, 86.25, 26, 0
A, 5, 4, 64.94, 73.22, 86.25, 14, 36
F, 2, 0, 237.5, 204.44, 61.25, 4, 24
A, 2, 9, 26.07, 170.564, 86.25, 7, 24
I, 4, 0, 159.161, -9.915, 36.25, 16, 48
A, 6, 2, 77.44, 34.876, 86.25, 19, 72
A, 3, 7, 38.57, 132.47, 86.25, 6, 12
A, 14, 10, 181.569, 187.502, 86.25, 22, 36
B, 0, 2, 19.189, 92.97, 86.25, 36, 0
A, 19, 8, 245.444, 152.22, 86.25, 33, 96
A, 7, 0, 89.94, 0.0, 86.25, 31, 84
J, 1, 0, 60.0, -9.915, 73.75, 2, 12
A, 4, 5, 51.07, 92.97, 86.25, 3, 24
B, 1, 0, 19.189, 53.47, 73.75, 13, 12
A, 1, 10, 12.5, 187.502, 86.25, 17, 12
A, 5, 3, 64.94, 53.47, 86.25, 23, 36
F, 1, 0, 237.5, 204.44, 73.75, 4, 12
A, 2, 8, 26.07, 152.22, 86.25, 0, 0
I, 3, 0, 159.161, -9.915, 48.75, 16, 36
A, 18, 9, 232.944, 170.564, 86.25, 1, 72
A, 6, 1, 77.44, 17.438, 86.25, 32, 72
A, 3, 6, 38.57, 112.72, 86.25, 8, 12
B, 0, 1, 19.189, 73.22, 86.25, 37, 0
A, 19, 7, 245.444, 132.47, 86.25, 34, 96
J, 0, 0, 60.0, -9.915, 86.25, 2, 0
A, 4, 4, 51.07, 73.22, 86.25, 14, 24
A, 1, 9, 12.5, 170.564, 86.25, 7, 12
A, 5, 2, 64.94, 34.876, 86.25, 19, 60
F, 0, 0, 237.5, 204.44, 86.25, 4, 0
A, 2, 7, 26.07, 132.47, 86.25, 6, 0
I, 2, 0, 159.161, -9.915, 61.25, 16, 24
A, 18, 8, 232.944, 152.22, 86.25, 33, 84
A, 6, 0, 77.44, 0.0, 86.25, 31, 72
A, 3, 5, 38.57, 92.97, 86.25, 3, 12
B, 0, 0, 19.189, 53.47, 86.25, 13, 0
A, 19, 6, 245.444, 112.72, 86.25, 24, 96
A, 4, 3, 51.07, 53.47, 86.25, 23, 24
A, 13, 11, 167.7, 204.44, 86.25, 20, 24
A, 17, 9, 220.444, 170.564, 86.25, 1, 60
A, 5, 1, 64.94, 17.438, 86.25, 32, 60
A, 2, 6, 26.07, 112.72, 86.25, 8, 0
I, 1, 0, 159.161, -9.915, 73.75, 16, 12
A, 18, 7, 232.944, 132.47, 86.25, 34, 84
A, 0, 11, 0.0, 204.44, 86.25, 5, 0
A, 3, 4, 38.57, 73.22, 86.25, 14, 12
A, 0, 9, 0.0, 170.564, 86.25, 7, 0
A, 19, 5, 245.444, 92.97, 86.25, 30, 84
A, 4, 2, 51.07, 34.876, 86.25, 19, 48
A, 13, 10, 167.7, 187.502, 86.25, 22, 24
A, 9, 11, 116.32, 204.44, 86.25, 5, 108
A, 17, 8, 220.444, 152.22, 86.25, 33, 72
A, 5, 0, 64.94, 0.0, 86.25, 31, 60
A, 2, 5, 26.07, 92.97, 86.25, 3, 0
I, 0, 0, 159.161, -9.915, 86.25, 16, 0
A, 18, 6, 232.944, 112.72, 86.25, 24, 84
A, 0, 10, 0.0, 187.502, 86.25, 17, 0
A, 3, 3, 38.57, 53.47, 86.25, 23, 12
A, 19, 4, 245.444, 73.22, 86.25, 25, 84
A, 16, 9, 206.569, 170.564, 86.25, 1, 48
A, 4, 1, 51.07, 17.438, 86.25, 32, 48
A, 9, 10, 116.32, 187.502, 86.25, 17, 108
A, 17, 7, 220.444, 132.47, 86.25, 34, 72
A, 2, 4, 26.07, 73.22, 86.25, 14, 0
A, 18, 5, 232.944, 92.97, 86.25, 30, 72
A, 3, 2, 38.57, 34.876, 86.25, 19, 36
A, 19, 3, 245.444, 53.47, 86.25, 9, 96
A, 16, 8, 206.569, 152.22, 86.25, 33, 60
A, 4, 0, 51.07, 0.0, 86.25, 31, 48
A, 17, 6, 220.444, 112.72, 86.25, 24, 72
E, 6, 0, 248.0, 195.625, 11.25, 35, 60
A, 2, 3, 26.07, 53.47, 86.25, 23, 0
A, 3, 1, 38.57, 17.438, 86.25, 32, 36
A, 12, 11, 155.2, 204.44, 86.25, 20, 12
A, 19, 2, 245.444, 34.876, 86.25, 15, 96
A, 16, 7, 206.569, 132.47, 86.25, 34, 60
A, 17, 5, 220.444, 92.97, 86.25, 30, 60
A, 2, 2, 26.07, 34.876, 86.25, 19, 24
A, 18, 3, 232.944, 53.47, 86.25, 9, 84
A, 15, 8, 194.069, 152.22, 86.25, 33, 48
A, 3, 0, 38.57, 0.0, 86.25, 31, 36
A, 12, 10, 155.2, 187.502, 86.25, 22, 12
A, 8, 11, 103.82, 204.44, 86.25, 5, 96
A, 19, 1, 245.444, 17.438, 86.25, 18, 96
A, 19, 10, 245.444, 187.502, 86.25, 22, 96
A, 16, 6, 206.569, 112.72, 86.25, 24, 60
A, 17, 4, 220.444, 73.22, 86.25, 25, 72
A, 14, 9, 181.569, 170.564, 86.25, 1, 36
A, 2, 1, 26.07, 17.438, 86.25, 32, 24
E, 4, 0, 248.0, 195.625, 36.25, 35, 48
H, 6, 0, 248.0, 8.621, 11.25, 21, 72
A, 18, 2, 232.944, 34.876, 86.25, 15, 84
A, 15, 7, 194.069, 132.47, 86.25, 34, 48
A, 8, 10, 103.82, 187.502, 86.25, 17, 96
A, 16, 5, 206.569, 92.97, 86.25, 30, 48
D, 6, 0, 159.161, 213.814, 11.25, 29, 72
A, 1, 2, 12.5, 34.876, 86.25, 19, 12
A, 17, 3, 220.444, 53.47, 86.25, 9, 72
A, 14, 8, 181.569, 152.22, 86.25, 33, 36
E, 3, 0, 248.0, 195.625, 48.75, 35, 36
A, 2, 0, 26.07, 0.0, 86.25, 31, 24
H, 5, 0, 248.0, 8.621, 23.75, 21, 60
A, 18, 1, 232.944, 17.438, 86.25, 18, 84
A, 15, 6, 194.069, 112.72, 86.25, 24, 48
D, 5, 0, 159.161, 213.814, 23.75, 29, 60
A, 16, 4, 206.569, 73.22, 86.25, 25, 60
A, 13, 9, 167.7, 170.564, 86.25, 1, 24
A, 1, 1, 12.5, 17.438, 86.25, 32, 12
A, 17, 2, 220.444, 34.876, 86.25, 15, 72
A, 11, 11, 142.7, 204.44, 86.25, 20, 0
A, 14, 7, 181.569, 132.47, 86.25, 34, 36
E, 2, 0, 248.0, 195.625, 61.25, 35, 24
H, 4, 0, 248.0, 8.621, 36.25, 21, 48
A, 15, 5, 194.069, 92.97, 86.25, 30, 36
A, 0, 2, 0.0, 34.876, 86.25, 19, 0
D, 4, 0, 159.161, 213.814, 36.25, 29, 48
A, 16, 3, 206.569, 53.47, 86.25, 9, 60
G, 6, 0, 237.5, 0.0, 11.25, 12, 72
A, 13, 8, 167.7, 152.22, 86.25, 33, 24
A, 1, 0, 12.5, 0.0, 86.25, 31, 12
A, 17, 1, 220.444, 17.438, 86.25, 18, 72
A, 11, 10, 142.7, 187.502, 86.25, 22, 0
A, 7, 11, 89.94, 204.44, 86.25, 5, 84
A, 14, 6, 181.569, 112.72, 86.25, 24, 36
E, 1, 0, 248.0, 195.625, 73.75, 35, 12
A, 18, 10, 232.944, 187.502, 86.25, 22, 84
H, 3, 0, 248.0, 8.621, 48.75, 21, 36
A, 15, 4, 194.069, 73.22, 86.25, 25, 48
A, 12, 9, 155.2, 170.564, 86.25, 1, 12
A, 0, 1, 0.0, 17.438, 86.25, 32, 0
D, 3, 0, 159.161, 213.814, 48.75, 29, 36
A, 16, 2, 206.569, 34.876, 86.25, 15, 60
A, 13, 7, 167.7, 132.47, 86.25, 34, 24
G, 5, 0, 237.5, 0.0, 23.75, 12, 60
A, 17, 0, 220.444, 0.0, 86.25, 11, 72
B, 6, 5, 19.189, 152.22, 11.25, 27, 72
A, 7, 10, 89.94, 187.502, 86.25, 17, 84
A, 14, 5, 181.569, 92.97, 86.25, 30, 24
E, 0, 0, 248.0, 195.625, 86.25, 35, 0
H, 2, 0, 248.0, 8.621, 61.25, 21, 24
A, 15, 3, 194.069, 53.47, 86.25, 9, 48
A, 12, 8, 155.2, 152.22, 86.25, 33, 12
A, 0, 0, 0.0, 0.0, 86.25, 31, 0
D, 2, 0, 159.161, 213.814, 61.25, 29, 24
A, 16, 1, 206.569, 17.438, 86.25, 18, 60
G, 4, 0, 237.5, 0.0, 36.25, 12, 48
A, 13, 6, 167.7, 112.72, 86.25, 24, 24
A, 9, 9, 116.32, 170.564, 86.25, 7, 108
B, 6, 4, 19.189, 132.47, 11.25, 10, 60
A, 14, 4, 181.569, 73.22, 86.25, 25, 36
A, 11, 9, 142.7, 170.564, 86.25, 1, 0
H, 1, 0, 248.0, 8.621, 73.75, 21, 12
A, 15, 2, 194.069, 34.876, 86.25, 15, 48
A, 12, 7, 155.2, 132.47, 86.25, 34, 12
A, 10, 11, 128.82, 204.44, 86.25, 5, 120
A, 17, 11, 220.444, 204.44, 86.25, 20, 72
D, 1, 0, 159.161, 213.814, 73.75, 29, 12
A, 16, 0, 206.569, 0.0, 86.25, 11, 60
B, 5, 5, 19.189, 152.22, 23.75, 27, 60
G, 3, 0, 237.5, 0.0, 48.75, 12, 36
A, 13, 5, 167.7, 92.97, 86.25, 30, 12
A, 9, 8, 116.32, 152.22, 86.25, 0, 72
B, 6, 3, 19.189, 112.72, 11.25, 28, 72
A, 4, 11, 51.07, 204.44, 86.25, 5, 48
A, 14, 3, 181.569, 53.47, 86.25, 9, 36
A, 11, 8, 142.7, 152.22, 86.25, 33, 0
H, 0, 0, 248.0, 8.621, 86.25, 21, 0
A, 15, 1, 194.069, 17.438, 86.25, 18, 48
A, 10, 10, 128.82, 187.502, 86.25, 17, 120
A, 6, 11, 77.44, 204.44, 86.25, 5, 72
A, 12, 6, 155.2, 112.72, 86.25, 24, 12
A, 8, 9, 103.82, 170.564, 86.25, 7, 96
A, 17, 10, 220.444, 187.502, 86.25, 22, 72
D, 0, 0, 159.161, 213.814, 86.25, 29, 0
G, 2, 0, 237.5, 0.0, 61.25, 12, 24
A, 13, 4, 167.7, 73.22, 86.25, 25, 24
A, 9, 7, 116.32, 132.47, 86.25, 6, 84
A, 10, 9, 128.82, 170.564, 86.25, 7, 120
B, 6, 2, 19.189, 92.97, 11.25, 36, 72
A, 4, 10, 51.07, 187.502, 86.25, 17, 48
A, 14, 2, 181.569, 34.876, 86.25, 15, 36
A, 11, 7, 142.7, 132.47, 86.25, 34, 0
A, 15, 0, 194.069, 0.0, 86.25, 11, 48
B, 4, 5, 19.189, 152.22, 36.25, 27, 48
A, 6, 10, 77.44, 187.502, 86.25, 17, 72
A, 8, 8, 103.82, 152.22, 86.25, 0, 60
B, 5, 3, 19.189, 112.72, 23.75, 28, 60
A, 13, 3, 167.7, 53.47, 86.25, 9, 24
A, 9, 6, 116.32, 112.72, 86.25, 8, 84
A, 10, 8, 128.82, 152.22, 86.25, 0, 84
B, 6, 1, 19.189, 73.22, 11.25, 37, 60
A, 14, 1, 181.569, 17.438, 86.25, 18, 36
A, 11, 6, 142.7, 112.72, 86.25, 24, 0
A, 7, 9, 89.94, 170.564, 86.25, 7, 84
B, 4, 4, 19.189, 132.47, 36.25, 10, 48
A, 12, 4, 155.2, 73.22, 86.25, 25, 12
A, 8, 7, 103.82, 132.47, 86.25, 6, 72
B, 5, 2, 19.189, 92.97, 23.75, 36, 60
G, 0, 0, 237.5, 0.0, 86.25, 12, 0
A, 13, 2, 167.7, 34.876, 86.25, 15, 24
A, 9, 5, 116.32, 92.97, 86.25, 3, 84
A, 10, 7, 128.82, 132.47, 86.25, 6, 96
B, 6, 0, 19.189, 53.47, 11.25, 13, 72
A, 14, 0, 181.569, 0.0, 86.25, 11, 36
B, 3, 5, 19.189, 152.22, 48.75, 27, 36
A, 16, 11, 206.569, 204.44, 86.25, 20, 60
A, 11, 5, 142.7, 92.97, 86.25, 30, 0
A, 7, 8, 89.94, 152.22, 86.25, 0, 48
